"         1      -363       273       106         0       500        20      5.01     75.01        92        96"
   -363.00     -2.40      0.93       0
      0.00    -12.39      0.73
      0.00    -24.86      2.74
      0.00    -37.00     18.28
      0.00    -37.92     11.12
      0.00    -44.62     13.00
      0.00    -52.09     14.90
      0.00    -61.29     17.04
      0.00    -74.21     19.81
      0.00    -91.08     24.24
      0.00   -108.77     27.14
      0.00   -142.90     38.80
      0.00   -171.46     49.55
      0.00   -199.27     51.66
      0.00   -216.90     49.85
      0.00   -239.51     43.97
      0.00   -303.76     52.16
      0.00   -344.39     52.74
      0.00   -379.63     32.62
      0.00   -464.23     43.82
      0.00   -475.50     29.15
     91.00     -0.88      0.18       0
     91.00     -8.08     12.13
     91.00     -9.83      5.73
     91.00    -11.50      3.60
     91.00    -13.51      4.43
     91.00    -20.58      6.15
     91.00    -26.51      7.19
     91.00    -30.45      8.49
     91.00    -35.02      9.87
     91.00    -38.58     11.33
     91.00    -44.19     13.26
     91.00    -50.67     14.94
     91.00    -57.94     16.78
     91.00    -67.19     18.94
     91.00    -79.75     21.76
     91.00    -96.35     26.60
     91.00   -113.27     29.57
     91.00   -145.46     41.81
     91.00   -171.44     51.43
     91.00   -197.00     52.64
     91.00   -213.50     49.96
     91.00   -238.13     45.18
     91.00   -304.07     54.07
     91.00   -344.34     53.87
     91.00   -379.35     33.92
     91.00   -465.00     44.67
     91.00   -475.87     29.20
    182.00     -1.17      0.28       0
    182.00    -11.22     15.94
    182.00    -12.50      8.02
    182.00    -13.50      7.42
    182.00    -15.96      7.87
    182.00    -16.65      6.23
    182.00    -18.48      6.26
    182.00    -19.23      5.66
    182.00    -20.81      6.19
    182.00    -21.37      5.94
    182.00    -23.30      5.50
    182.00    -27.42      5.73
    182.00    -30.20      6.28
    182.00    -33.65      6.82
    182.00    -37.08      8.35
    182.00    -42.10     10.11
    182.00    -48.12     11.83
    182.00    -55.28     13.62
    182.00    -63.97     15.58
    182.00    -76.13     18.67
    182.00    -92.46     23.89
    182.00   -108.95     26.85
    182.00   -138.72     37.77
    182.00   -163.73     45.44
    182.00   -190.30     49.13
    182.00   -208.29     47.58
    182.00   -235.94     45.11
    182.00   -303.11     54.55
    182.00   -343.83     53.89
    182.00   -380.27     34.52
    182.00   -464.94     44.83
    182.00   -475.65     29.07
    273.00     -1.01      0.13       0
    273.00     -6.40      5.88
    273.00     -8.05      3.96
    273.00     -9.25      4.03
    273.00    -10.13      3.91
    273.00    -11.51      4.04
    273.00    -12.56      3.82
    273.00    -14.00      3.84
    273.00    -14.03      3.41
    273.00    -16.72      3.90
    273.00    -21.60      4.63
    273.00    -24.70      5.06
    273.00    -27.43      5.25
    273.00    -31.01      6.49
    273.00    -35.97      7.95
    273.00    -42.19      9.57
    273.00    -49.68     10.86
    273.00    -58.82     13.20
    273.00    -71.44     16.73
    273.00    -88.57     22.46
    273.00   -105.44     25.38
    273.00   -134.96     35.67
    273.00   -160.38     42.66
    273.00   -187.83     47.16
    273.00   -206.68     46.26
    273.00   -235.20     44.70
    273.00   -302.28     54.22
    273.00   -343.25     53.41
    273.00   -381.07     34.60
    273.00   -464.58     44.69
    273.00   -475.25     28.91
